Date,Open,High,Low,Close,Volume
15-Dec-10,5931.15,5942.75,5865.8,5892.3,126323113
16-Dec-10,5910.55,5956.15,5855.05,5948.75,149826681
20-Dec-10,5926.85,5985,5900.25,5947.05,121821490
21-Dec-10,5960.4,6007.45,5960.05,6000.65,126542972
22-Dec-10,6019,6023.8,5958,5984.4,118823292
23-Dec-10,6005.9,6006.45,5964.6,5980,85460029
24-Dec-10,5940.25,6017.35,5940.25,6011.6,123574629
27-Dec-10,6013.3,6045.75,5991.1,5998.1,95958318
28-Dec-10,6005.35,6010.9,5982.25,5996,90722187
29-Dec-10,6005.15,6067.55,6002.85,6060.35,92994810
30-Dec-10,6062.35,6106.4,6062.35,6101.85,194348266
31-Dec-10,6105.1,6147.3,6103.55,6134.5,113754901
03-Jan-11,6177.45,6178.55,6147.2,6157.6,96028639
04-Jan-11,6172.75,6181.05,6124.4,6146.35,181727905
05-Jan-11,6141.35,6141.35,6062.35,6079.8,139614193
06-Jan-11,6107,6116.15,6022.3,6048.25,152338978
07-Jan-11,6030.9,6051.2,5883.6,5904.6,171809106
10-Jan-11,5901.3,5907.25,5740.95,5762.85,156945855
11-Jan-11,5767.95,5842.6,5698.2,5754.1,161261704
12-Jan-11,5800.05,5874.2,5711.3,5863.25,188116995
13-Jan-11,5850.75,5857.75,5736.7,5751.9,175347539
14-Jan-11,5752.1,5833.65,5639.65,5654.55,174568442
17-Jan-11,5648.8,5696.15,5624.15,5654.75,148497108
18-Jan-11,5682.55,5730.5,5671.25,5724.05,141008889
19-Jan-11,5737.35,5747.65,5662.55,5691.05,146719934
20-Jan-11,5656,5729.45,5634.5,5711.6,130496983
21-Jan-11,5692.05,5717.55,5674.5,5696.5,119990780
24-Jan-11,5717.1,5756,5697.75,5743.25,108832157
25-Jan-11,5763.3,5801.55,5680.65,5687.4,126128667
27-Jan-11,5725.3,5726.1,5594.95,5604.3,201496674
28-Jan-11,5614,5614.4,5459.55,5512.15,173107003
31-Jan-11,5452.55,5526.85,5416.65,5505.9,177847681
01-Feb-11,5537.3,5539.15,5402,5417.2,171232063
02-Feb-11,5469.55,5490.6,5415.65,5432,172198228
03-Feb-11,5430.45,5532.65,5418,5526.75,154228754
04-Feb-11,5519.9,5556.3,5369.05,5395.75,187819542
07-Feb-11,5430.15,5440.35,5376.95,5396,150447066
08-Feb-11,5432.35,5432.35,5303.4,5312.55,155600262
09-Feb-11,5293.05,5339.45,5225.65,5253.55,246525934
10-Feb-11,5246.05,5272.6,5196.8,5225.8,225237990
11-Feb-11,5219.65,5319.45,5177.7,5310,211250584
14-Feb-11,5340.25,5463.8,5340.25,5456,175710338
15-Feb-11,5467.75,5506.5,5408.35,5481,170459703
16-Feb-11,5467.6,5504.8,5460.35,5481.7,140517190
17-Feb-11,5501.7,5553,5463.4,5546.45,143669623
18-Feb-11,5557.55,5599.25,5441.95,5458.95,180906498
21-Feb-11,5456.6,5526.25,5413.1,5518.6,137634026
22-Feb-11,5504.4,5519.45,5437.3,5469.2,166271411
23-Feb-11,5452.45,5495.2,5427.55,5437.35,173584660
24-Feb-11,5408.75,5423.4,5242.5,5262.7,259347677
25-Feb-11,5321.05,5338.2,5232.75,5303.55,193536325
28-Feb-11,5330.15,5477,5308.6,5333.25,317245759
01-Mar-11,5382,5533.05,5373.55,5522.3,210498269
03-Mar-11,5478.45,5570.75,5468.25,5536.2,218804792
04-Mar-11,5586.2,5608.2,5524.1,5538.75,162006860
07-Mar-11,5490.05,5491.25,5408.45,5463.15,134581629
08-Mar-11,5466.1,5530.55,5464.75,5520.8,127506672
09-Mar-11,5542.4,5563.3,5477.45,5531,149822867
10-Mar-11,5516.1,5516.3,5468.45,5494.4,135730117
11-Mar-11,5456.15,5502.7,5411.55,5445.45,133441964
14-Mar-11,5436.5,5537.3,5434.25,5531.5,173521756
15-Mar-11,5420,5497.85,5373.65,5449.65,191037598
16-Mar-11,5475.95,5535.1,5475.95,5511.15,135196748
17-Mar-11,5455.4,5510.05,5435.3,5446.65,135255698
18-Mar-11,5475.35,5483.05,5366.4,5373.7,129492420
21-Mar-11,5408.75,5413.3,5348.2,5364.75,107174731
22-Mar-11,5390.85,5428.15,5376.15,5413.85,94938100
23-Mar-11,5411.4,5484.95,5401.95,5480.25,112036402
24-Mar-11,5501.8,5529,5496.1,5522.4,115262055
25-Mar-11,5588.65,5667.1,5560.95,5654.25,133451382
28-Mar-11,5645.25,5709.1,5643.2,5687.25,130717964
29-Mar-11,5686.5,5770.35,5680.7,5736.35,140479340
30-Mar-11,5755.8,5803.15,5753.9,5787.65,133208726
31-Mar-11,5803.05,5872,5778.65,5833.75,219441114
01-Apr-11,5835,5860.2,5810.4,5826.05,118321855
04-Apr-11,5842,5918.7,5833.2,5908.45,106392427
05-Apr-11,5923.85,5928.65,5855.85,5910.05,110625437
06-Apr-11,5908,5944.45,5868.8,5891.75,125960708
07-Apr-11,5888.55,5906.1,5866.25,5885.7,98160761
08-Apr-11,5886.75,5926.95,5822,5842,99854772
11-Apr-11,5805.35,5830.3,5777.9,5785.7,92734132
13-Apr-11,5747.95,5923.6,5735.55,5911.5,145699909
15-Apr-11,5898.75,5907.35,5806.45,5824.55,140590405
18-Apr-11,5824.35,5897.9,5722.25,5729.1,121111083
19-Apr-11,5716,5762.95,5693.25,5740.75,101237488
20-Apr-11,5786.05,5857.35,5759.65,5851.65,117896054
21-Apr-11,5882.85,5912.9,5864.35,5884.7,119753918
25-Apr-11,5859.6,5906.6,5857,5874.5,94377009
26-Apr-11,5876.85,5893.2,5791.55,5868.4,117166769
27-Apr-11,5884.2,5892.35,5819.95,5833.9,108740523
